title,company,description
Software Engineer,SeatGeek,"The Overview

We're looking for smart, curious engineers who want to help millions of people experience the thrill of live entertainment. The ticketing industry is messy, complex and ultimately makes attending live events more difficult than it should be; we believe a thoughtful application of software can fix that.

SeatGeek is a product-centric organization that deploys code into production multiple times per day. Our application is built in the microservice architectural style and we strive to use the best language for the task at hand. As we grow, the scale of our technical challenges - and their impact on our customers - continues to increase. We want to make sure we continue to build the best product we can.

What We're Looking For
Experience building web applications, especially within a microservices architecture. We'll be most interested in hearing about what you've built
Experience solving complex technical challenges. SeatGeek engineers have had to create custom solutions to rather unique ticketing problems, including venue mapping, inventory tracking, and event matching. We'll be excited to hear about challenging problems you've faced and solved
Confidence with at least one language and comfort with several others
Passion for software craftsmanship and product. You have well-considered opinions about how software should work, and hold yourself and your code to a high standard
Commitment to your teammates. You enjoy working with a diverse group of people with different experiences and take pride in mentoring and learning from others
The Tools We Use

You absolutely do not need experience with all of these, but we thought you might be curious. Tools can be learned, so we care much more about your general engineering skill than knowledge of a particular language.
Languages: Python (our primary language), C#/.NET Core, Go and PHP
Datastores: MySQL, Redis, RabbitMQ and Elasticsearch
Server: Nginx, Tornado and flask for Python, all running on AWS
Monitoring: InfluxDB/Grafana, Graylog, DataDog & PagerDuty
Version control: Git
Clientside: we make heavy use of React/Redux on the frontend"
Software Development Engineer,Amazon,"Job Description
Are you looking for an exciting opportunity to build a new business from the ground up? We’re a V1 startup that leverages interactive streaming video to create new shopping experiences for customers. This is a strategic initiative for the company with strong buy-in from top management. Our group offers a creative and fast-paced work environment where you’ll invent, build, and launch scalable solutions that directly impact Amazon customers.

We are looking for talented and creative software engineers to build and launch a top-notch product across multiple platforms. Along the way, you’ll learn about live streaming video and advertising through the lens of a new business. You’ll partner closely with Amazon Video, Mobile Shopping, Fire TV, Kindle, and Retail Tech teams. In addition, you’ll collaborate with all members of our agile team, including product management, marketing, and UX design.
Successful candidates are enthusiastic about translating high-level, ambiguous business goals into working software solutions. You are comfortable taking initiative and working across teams in a relatively unstructured environment. You have well-honed, insightful architectural design instincts, and enjoy building simple and elegant systems that will scale to support millions of users. You love playing with data and generating insights to help improve our product.

Basic Qualifications
Bachelor’s Degree in Computer Science or related field
Computer Science fundamentals in object-oriented design
Computer Science fundamentals in data structures
Computer Science fundamentals in algorithm design, problem solving, and complexity analysis
Proficiency in, at least, one modern programming language such as Java or Python
Preferred Qualifications
Experience with mobile app and web technologies such as React Native, JavaScript, JQuery, AJAX, HTML5
Experience with DynamoDB or similar large scale databases and/or distributed computing
Demonstrated passion for user experience design and improving usability
Entrepreneurial spirit: not afraid to invent and try new things, take calculated risks

Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.


Apply Now at Amazon"
Software Engineer,CALA,"CALA is building apparel manufacturing, inventory management and shipping as a service. The apparel manufacturing market is $660B and CALA is competing against incumbents who aren't using technology. The product is already in use with celebrities as well as designers and retailers.
At CALA you'll have an opportunity to build state-of-the-art technology that will redefine the global apparel industry. By joining us you will make fundamental decisions that will shape the course of CALA.
The company is looking for full-stack software engineers.

Highlights:
CALA supports work-life balance for all employees
90% coverage for medical, dental and vision for employees
$100 monthly gym reimbursement benefit
Monthly cell phone reimbursement benefit
$125K – $130K cash base plus up to 0.75% of the company in stock
Responsibilities:
Work across the full stack to build, test and ship new customer facing products
Create user experiences that are simple, performant and reliable
Work together with multi-functional teams to develop the best overall product
Minimum Qualifications:
2+ years of full-time software engineering experience
You have a depth of technical experience and have demonstrated excellence through previous work
You write efficient, high quality code
You are a fast learner who can quickly master new technologies
Click the Apply Now button to complete a very quick coding exercise. After that, we'll circle back within 24 hours with next steps!"
Software Engineer,Greenhouse Software,"Greenhouse is looking for a Software Engineer to join our Engineering team!

At Greenhouse, our team offers stability, product development best practices, and an environment where every single engineer has a direct impact on the success of our software. You will be given the reigns to continuously iterate on our Recruiting platform, improve the long-term quality of our codebase, and empower the team to develop and grow.

Learn more about our engineering culture here!

Who will love this job:
A standout colleague, you thrive off of developing and supporting your peers and junior teammates; no job is too small for you
A doer, you get things done and you love working in a dynamic environment; we move quickly and we need a teammate who will too
A problem solver, you not only think about the bigger picture, but can also connect the dots and dedicatedly resolve issues quickly and efficiently
An excellent communicator, you have a knack for explaining technical processes concisely (even to non-engineers), and work well with cross-functional internal teams
What youll do:
Write clear and concise production code for the Greenhouse Recruiting platform
Provide effective and constructive feedback by reviewing others work
Deliver new features by collaborating regularly with Product Managers, Designers, the QA team, and other software engineers
Set consistent standards for code; testing and fixing bugs throughout the process
Work with internal product teams on defining product roadmaps, specifications, and priorities
Establish processes that will improve Greenhouses code quality
You should have:
3+ years experience in writing production code (required)
Understanding of Javascript fundamentals
Experience with Rails or another web-based framework
Pay, Perks & Such:

At Greenhouse, we celebrate our diverse group of talented employees and it shows. We are proud to say that we have been ranked #1 Best Place to Work in 2017 by Glassdoor, and #15 by Crains New York Best Places to Work 2017! We pride ourselves on our collaborative culture, which starts with our interviews and continues through our executive Ask Me Anything sessions, regular company get-togethers, and quarterly fun days (think trapeze school, glassblowing, or dumpling class), just to name a few.

We offer a full slate of benefits, including competitive salaries, stock options, medical, dental, vision, life and disability coverages, FSA, HSA, flexible vacation, commuter benefits, a 401K plan, and a parental leave program. And... we offer some not-so-standard, extra-fun benefits, including learning & development stipends, adoption and fertility benefits, an employee discount platform, and of course, fully stocked fridges and cold brew on tap. :)

At Greenhouse, we value diversity and believe forming teams in which everyone can be their authentic self is key to our success. We encourage people from underrepresented backgrounds to apply. Come join us, and find out what the best work of your career could look like for you!"
Software Engineer,Macquarie Group,"Bring your experience in Software Engineering and enjoy our start-up environment with the funding of a large organization to innovate and push digital boundaries.

As a Software Engineer, you will play an integral role in supporting our vital systems and applications for our institutional equities Sales & Research business, giving you both exposure to the business, and the opportunity to enhance your knowledge of financial markets and products.

In this role, you will manage and deliver robust system enhancements to critical applications, as well as develop custom solutions from scratch. Your ability to work closely with the business to understand requirements and demonstrate flexibility in achieving goals will help you thrive in this role, along with the wider team.

We will need you to bring a strong understanding of .NET or Java as well as a track record of designing, implementing and supporting solutions. Your previous experience with JavaScript mixed with automation and infrastructure principles will allow you to excel in this role.

If the above sounds like you, apply now online. For more information please visit www.macquarie.com/careers

The Corporate Operations Group (COG) brings together specialist support services including workplace, human resources, market operations and technology. COG's purpose is to drive operational excellence through business-aligned services with a focus on quality, cost and risk. COG comprises the following divisions: Business Improvement and Strategy, Business Services, Human Resources, Market Operations, and Technology.

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, national origin, age, disability, protected veteran status, genetic information, marital status, gender identity or any other impermissible criterion or circumstance. Macquarie also takes affirmative action in support of its policy to hire and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities."
Quality Engineering Lead,Blockchain,"Blockchain is the world's leading software platform for digital assets. Offering the largest production blockchain platform in the world, we share the passion to code, create, and ultimately build an open, accessible and fair financial future, one piece of software at a time.

We are looking for a Quality Engineering Lead to lead a team that puts in place world-class tools and processes that drive up quality within our fast growing Engineering organization.

WHAT YOU WILL DO:
This is a big job - you will be responsible for all aspects of quality within the Blockchain development environment - automation frameworks and tests, dashboards, and manual testing - to support mobile, web and platform engineering. Reporting to the VP Engineering, you will be responsible for driving test automation and test-driven development across the entire engineering team.
You will grow and lead a team of engineers focusing on test frameworks and test development, and will be responsible for appropriate planning and delivery of complex projects, setting clear goals for your team, delivering timely feedback and rewards, and helping recruit great engineers to your team.
You will make steady progress in increasing the automated test coverage and decreasing our reliance on manual testing and testers, with the goal of getting to a sustainable, high level of automation across all products.
You will work closely with other engineering and SRE leaders across multiple offices to drive innovation in quality aspects software development, and help define the technical roadmap. You will evaluate, deploy, and manage best-in-market test automation tools and environments, and create and maintain innovative engineering processes that drive a test-driven engineering culture.
Participate in technical discussions, help make technical decisions, and represent engineering to other disciplines within the company.
Fintech and/or crypto experience preferred.
WHAT YOU WILL NEED:
The foremost quality for this position or any position at Blockchain is integrity.
Experience with software development at scale, test automation, and modern software development practices.
Knowledge of software testing process, methodology, and best practices in driving quality within engineering organizations.
Engineering management experience with a track record of building and leading productive, high functioning, distributed teams.
Active participation in a teams career development, having managed engineers and managers performance with proper mentorship and coaching.
The highest of standards regarding security practices and a desire to mentor your team on keeping our user base of 25M+ users safe.
Desire to foster a hardworking, collaborative and creative team culture in one of the most challenging and dynamic industries in tech.
Note: this is not a scrum master/agile coach job - this is an opportunity to build a world-class engineering infrastructure to support a top-tier engineering organization.
COMPENSATION & PERKS:
Full-time salary based on experience and meaningful equity in an industry-leading company.
The opportunity to be a key player and build your career at a rapidly expanding, global technology company in an exciting, emerging industry.
Great office location in Shoreditch (London) or New York (SoHo).
Unlimited vacation policy; work hard and take time when you need it.
Sharp, motivated co-workers in a fun office environment.
Apple Equipment.
APPLICATION:
Favorite GIF.
LinkedIn profile.
Link to github, stackoverflow, personal website and/or blog (if applicable)."
Software Engineer,LGS Innovations,"Do you have a passion for innovation? So do we! At LGS our people are our greatest asset – we make sure your voice is heard and give you the resources to invent solutions to some of the most difficult challenges facing our customers. Our entrepreneurial environment fosters your best ideas and allows you to build your career to fit your creativity. Sound interesting? We’re always looking for the best and brightest to join our ranks and share the fun.

Primary Purpose:

Under general direction, design and implement a mixture of real-time embedded and application software for custom sensor and wireless communication systems.

Duties and Responsibilities:
Design, develop, test and maintain real-time embedded and application software on custom sensor and wireless communications systems
Understand customer requirements to deliver needed functionality with high quality and attention to detail
Optimize software to meet real-time requirements
Perform unit, subsystem, and regression testing on software/system components
Support system and field testing as required
Document design, interfaces, and user interfaces
Collaborate with multi-disciplined team on existing and new software solutions.
Travel to other LGS locations or customer sites as necessary
Understand and adhere to all LGS Ethical and Compliance policies
Proactively ensure a safe work environment and adhere to LGS EH&S policies and procedures
Perform other duties as assigned
Ability to obtain/retain a government security clearance at the level necessary to perform the duties of the position
Skills and Knowledge:
Experience developing software for real-time environments
Experience with multiple programming methods and languages, including C, C++, C#
Experience with multiple scripting languages, including Perl, Python, BASH
Experience developing APIs for command and control over unreliable communications links
Experience developing in the Linux environment and implementing Linux applications
Familiarity with Object Oriented design, architecture and programming methods
Familiarity with communication theory, wireless protocols, and control theory
Familiarity with embedded software that controls hardware (e.g. device drivers, microcontrollers)
Knowledge of Microsoft software applications and other software applications as required, including Microsoft SharePoint
Excellent communication skills
Demonstrated effective teamwork skills
 

Working Conditions:

Work is typically performed in an office environment which requires proper safety precautions. Work may require some physical effort in the handling of light materials, boxes, or equipment.

Minimum Qualifications

 

Minimum Education and Experience:
Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering or related discipline and 2-4 years related experience or an equivalent combination of skills, education, and experience.

Preferred Qualifications

Desired Skills:
Comfortable in a fast-paced, multi-tasking environment
Familiarity operating and controlling RF test equipment
Familiarity with RF theory 
HAM radio license highly desirable

LGS Statement

LGS Innovations delivers mission-critical communications products, R&D, and supporting services to U.S. defense, intelligence, and civilian agencies and commercial customers around the world. We create advanced solutions in wireless communications, signals processing and analysis, optical networking, photonics, routing and switching, and spectrum management. These solutions drive mission success in Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR), cyberspace operations, and network assurance. LGS Innovations is headquartered in Herndon, Virginia, with offices across the U.S. and overseas. We employ over 1,000 associates around the world, including 750 scientists and engineers. LGS Innovations: Listen. Innovate. Deliver. www.lgsinnovations.com. We provide our employees with competitive compensation packages and a full range of benefits, including vacation, medical, dental, life insurance, a 401(k) plan, tuition assistance, Employee Assistance Program (EAP), and paid parental leave. For a listing of all LGS Innovations open positions, please visit our website at http://www.lgsinnovations.com/careers. Equal Opportunity Employer/Veterans/Disabled www.dhs.gov/E-Verify E-Verify® is a registered trademark of the U.S. Department of Homeland Security. This business uses E-Verify in its hiring practices to achieve a lawful workforce.

Axios Statement

EEO Statement

LGS Innovations is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status."
Investment Analytics - UI Engineer,UBS,"Your Role
We are looking for a multi stack software engineer with specialization in UI/UX design and development who can excel at turning a business concept into a functional web application. The responsibilities will include crafting/reviewing wire frames and then translating them into front-ends that are highly intuitive and flexible. Huge plus if you're the one who can create the wires! The teammate must be able to work in a very fast-paced and dynamic environment and possess exceptional eye for detail and core understanding of user experience principles and best practices of human interface design.
Major Duties/Responsibilities:
-work with the Engineering team and Product Owner to ensure the technical feasibility of UI/UX designs, and to ensure the designs are responsive in nature.
-develop and design UI/UX - starting from the Information Architecture through to front end implementation.
-perform unit testing at the page level.
-reviews specifications and provides time estimates on the development of projects and features
-builds reusable code, templates, module, artifacts, and libraries for future use.
-utilizes SEO best practices, ensure site is responsive and adapts to the different break points and screen sizes.
-meet established deadlines.
Your team
UBS Asset Management's growth strategy requires a highly scalable and robust global operating platform for effective and efficient investment research, low organizational complexity, ability to grow top line without linear cost growth, and fully align investment with strategic growth priorities. In order to achieve this goal, Asset Management is renovating its front-office technology stack to. AM Investment Domain Data Program will create a competitive advantage for the business through unique and adaptive data, analytics & research capabilities. Current AM data architecture is highly fragmented and does not satisfy divisional needs. The objective of AM Investment Domain Data Program is to drive a centralized set of services, with data integrity & governance, high performance, smart analytics & flexibility.
Your experience and skills
You have:
-a four year bachelors (IT/Computer Science Preferred); Master’s Degree preferred (IT/Computer Science Preferred) or equivalent experience
-strong experience with at least two programming languages such as Java, C# or Python
-knowledge of relational databases such as Oracle or SQL Server
-proficient understanding of web markup language, including HTML5, CSS3, and Web scripting.
-proficient understanding of client-side scripting and JavaScript frameworks, React/Redux (preferred), Angular, jQuery, Bootstap etc.
-strong experience in developing analytics dashboards/charts using D3, with interactive, real time, drill-downs user interactions.
-experience in dealing with various data formats like JSON, XML, binary etc.
-experience with code repository systems, extensive knowledge of responsive design methodologies and ability to integrate with APIs (SVN, Git).
-proficient understanding of cross-browser compatibility issues and design.
-experience in refactoring front-end code to support changes in design requirements.
-knowledge of image authoring tools, to be able to crop, resize, or perform small adjustments on an image.
-excellent ability to manage timelines and be self-directed.
-rapid Prototyping skills and Responsive Design Methodologies including working experience with prototype software
-experience in developing detailed design documentation and shows processing logic for simple programs.
- a passion for front end development and be a self-starter.
-ability to work well in a team environment and enjoy collaborating with other team members to provide the best solution.

Optional Skills:
-experience with Cloud architecture & service like AWS, Azure
-strong UX & graphic designer skills
What we offer
Together. That’s how we do things. We offer people around the world a supportive, challenging and diverse working environment. We value your passion and commitment, and reward your performance.

Keen to achieve the work-life agility that you desire? We're open to discussing how this could work for you (and us).
Take the next step
Are you truly collaborative? Succeeding at UBS means respecting, understanding and trusting colleagues and clients. Challenging others and being challenged in return. Being passionate about what you do. Driving yourself forward, always wanting to do things the right way. Does that sound like you? Then you have the right stuff to join us. Apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce."
Software Engineer (Ruby) - Intelligent Spaces,WeWork,"WeWork Mission

WeWork is the platform for creators, providing hundreds of thousands of members around the world with space, community and services that enable them to do what they love and create their life's work. Our mission is to create a world where people work to make a life, not just a living, and our own team members are central to that goal.

Technology Charter

WeWork is creating a layer of technology to power our vision of space as a service. From identifying and designing a new location, to bringing that space to market in an elastic, easy-to-consume way, to seamlessly operating these spaces to delight our members, we are building state-of-the-art systems to automate, optimize, and improve the experience. The data we are collecting is being used to dynamically optimize utilization, pricing, even layout and form factor. This technology advantage has allowed WeWork to scale to 200+ buildings in 20+ countries and will be our rare advantage as the company continues to grow.

Mission Outline

The Engage mission is responsible for delivering technology that creates intelligent environments and connected, consciously-engineered communities for every space in the world. Our team is interested in increasing lifetime value, satisfaction productivity, and building engaging community models in smart environments. Intelligent spaces is a product area within the Engage mission that focuses on driving workplace efficiency, effectiveness, and engagement through technology that allows people to focus more time on doing what they love.

About the Position

WeWork is hiring a senior back end engineer to work on applications that connect our members both socially and professionally. For a passionate and motivated engineer, this is an exciting opportunity to work on a new team establishing best practices for building, testing and iterating in an event-based micro-service architecture. We are overhauling the current member experience to better connect our members with our spaces (think Internet of things) and each other to help them connect, grow and ultimately be more successful. This is a senior position focused on technical leadership as WeWork continues to scale and mature as a software engineering organization.

Responsibilities
Design, develop, test, ship and improve our backend applications.
Debate, design & ship new features in an innovative, iterative and experiment-driven mindset.
Take part in scaling our event-based, micro-service architecture in a fast-growing engineering team.
Minimum Qualifications
5+ years of professional work experience in backend software development.
BA/BS in Computer Science or related technical field or equivalent practical experience.
Expertise in at least one general purpose programming backend language.
Professional experience with three or more from the following: consumer APIs, distributed and parallel systems, networking, aggregation services, message queues, performance tuning, database optimization, DevOps, infrastructure, automated testing.
Preferred Qualifications
7+ years of professional work experience in backend software development.
Deep experience in either Ruby, Java, or Go.
Deep experience with event based systems and messaging paradigms.
Experience with and knowledge of Docker.
Experience and/or interest in other areas of development (web, mobile).
We are an equal opportunity employer and value diversity in our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
"Software Engineer, Golang",MongoDB,"A great MongoDB experience starts with great tools.

The Drivers team builds the libraries and tools that developers use day-to-day working with MongoDB. Our mission is to increase developer adoption, satisfaction and retention by providing a reliable, enjoyable interface for developers and other end-users.

For this role, we're looking for someone who enjoys designing, writing, and supporting Open Source libraries and standalone tools for developers and administrators using MongoDB.

You might be right for this role if you...
Have substantial, demonstrable experience writing high-quality software
Have used Go before or would love to learn it and use it in your day-to-day work
Are fascinated with concurrency, parallelism and distributed systems
Want to participate in Open Source software development and communities
Communicate well, internally and externally, both in writing and face-to-face
Are excited by our mission and values
You'll be on a team responsible for...
The MongoDB Go Driver, currently under active development
The command line utilities that ship with the MongoDB server, including performance optimizations as our customers deal with ever-larger data sets
The mongomirror tool, a utility for migrating data from an existing MongoDB replica set to MongoDB Atlas (our cloud Database-as-a-Service)
Testing, delivering and supporting the above list across multiple operating systems and versions of MongoDB
You'll have responsibilities beyond just code, including...
Working with our Product and Server teams on designs and specifications for new customer-facing MongoDB features
Investigating bugs and support requests from commercial and Open Source customers for the libraries and tools our team maintains
Seeking out speaking or writing opportunities to evangelize to developer communities
Success in this role means...
Within three months, you'll know most of the codebase you are responsible for and will be contributing effectively day-to-day fixing bugs, implementing already-planned features and doing peer code-review
Within six months, you'll have implemented several major, planned new features in the driver or tools; you'll be able to respond effectively to technical support escalations for the codebases you know best; you'll have the trust of the team and our internal customers
Within a year, you'll have delivered several new releases of our software, will have significantly improved the quality, performance and maintainability of our codebase, and will be able to independently scope and design new features of moderate complexity"
